Tarih/Saat,Olay Turu,Olay Durumu,Olaya Mesafe (m),Hiz (Km/h),Arac Durumu,Algoritma Adı,Düğüm Sayısı,Maliyet, Gerçek Mesafe (m)
23:39:28,,,0.00,0.0,,UniformCostSearch,472,142520,178.25
23:39:53,Yaya,Algılandı,4.18,100.0,Duruyor,N/A,0,0,0.00
23:40:01,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:40:04,Trafik Işığı Kırmızı,Algılandı,0.79,100.0,Duruyor,N/A,0,0,0.00
23:40:28,Yaya,Algılandı,8.01,100.0,Duruyor,N/A,0,0,0.00
23:40:35,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:40:36,Yaya,Algılandı,0.32,73.1,Duruyor,N/A,0,0,0.00
23:40:39,Yaya,Geçiş Tamamlandı,0.00,100.0,Hareket Ediyor,N/A,0,0,0.00
23:40:47,Yaya,Algılandı,8.23,50.0,Duruyor,N/A,0,0,0.00
23:40:52,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:41:01,Yaya,Algılandı,8.16,50.0,Duruyor,N/A,0,0,0.00
23:41:09,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:41:34,Yaya,Algılandı,8.25,100.0,Duruyor,N/A,0,0,0.00
23:41:37,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:42:03,Yaya,Algılandı,7.69,100.0,Duruyor,N/A,0,0,0.00
23:42:06,Yaya,Geçiş Tamamlandı,0.00,100.0,Hareket Ediyor,N/A,0,0,0.00
23:42:08,Yaya,Algılandı,8.23,100.0,Duruyor,N/A,0,0,0.00
23:42:13,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:42:15,,,0.00,0.0,,GreedySearch,45,10480,182.90
23:42:28,Yaya,Algılandı,6.34,100.0,Duruyor,N/A,0,0,0.00
23:42:34,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:42:40,Yaya,Algılandı,6.76,100.0,Duruyor,N/A,0,0,0.00
23:42:41,Yaya,Geçiş Tamamlandı,0.00,60.3,Hareket Ediyor,N/A,0,0,0.00
23:42:47,Yaya,Algılandı,8.25,50.0,Duruyor,N/A,0,0,0.00
23:42:51,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:42:55,Yaya,Algılandı,5.59,0.0,Duruyor,N/A,0,0,0.00
23:43:08,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
18:39:47,Trafik Işığı Kırmızı,Algılandı,8.19,100.0,Duruyor,N/A,0,0,0.00
18:39:59,Yaya,Algılandı,7.75,100.0,Duruyor,N/A,0,0,0.00
18:40:08,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:08:31,Trafik Işığı Kırmızı,Algılandı,6.16,100.0,Duruyor,N/A,0,0,0.00
19:08:38,Yaya,Algılandı,0.81,0.0,Duruyor,N/A,0,0,0.00
19:08:42,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:08:56,Yaya,Algılandı,2.75,0.0,Duruyor,N/A,0,0,0.00
19:09:03,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:10:04,Trafik Işığı Kırmızı,Algılandı,8.17,50.0,Duruyor,N/A,0,0,0.00
19:10:16,Yaya,Algılandı,8.03,100.0,Duruyor,N/A,0,0,0.00
19:10:22,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:10:23,Yaya,Algılandı,4.13,15.2,Duruyor,N/A,0,0,0.00
19:10:28,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:10:41,Yaya,Algılandı,8.24,100.0,Duruyor,N/A,0,0,0.00
19:10:44,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:10:49,Yaya,Algılandı,8.09,100.0,Duruyor,N/A,0,0,0.00
19:10:58,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:11:22,Trafik Işığı Kırmızı,Algılandı,7.98,100.0,Duruyor,N/A,0,0,0.00
19:11:48,Yaya,Algılandı,7.68,100.0,Duruyor,N/A,0,0,0.00
19:11:48,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:12:19,Trafik Işığı Kırmızı,Algılandı,5.63,100.0,Duruyor,N/A,0,0,0.00
19:12:34,Yaya,Algılandı,7.95,100.0,Duruyor,N/A,0,0,0.00
19:12:41,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:13:08,Yaya,Algılandı,4.95,100.0,Duruyor,N/A,0,0,0.00
19:13:08,Yaya,Geçiş Tamamlandı,0.00,84.1,Hareket Ediyor,N/A,0,0,0.00
19:13:21,Yaya,Algılandı,8.05,50.0,Duruyor,N/A,0,0,0.00
19:13:24,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:13:26,Yaya,Algılandı,0.34,50.0,Duruyor,N/A,0,0,0.00
19:13:27,Yaya,Geçiş Tamamlandı,0.00,92.0,Hareket Ediyor,N/A,0,0,0.00
19:17:09,Yaya,Algılandı,8.17,100.0,Duruyor,N/A,0,0,0.00
19:17:19,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:17:20,Trafik Işığı Kırmızı,Algılandı,2.28,71.9,Duruyor,N/A,0,0,0.00
19:17:45,Yaya,Algılandı,7.76,100.0,Duruyor,N/A,0,0,0.00
19:17:54,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:18:03,Yaya,Algılandı,8.08,100.0,Duruyor,N/A,0,0,0.00
19:18:13,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
19:18:18,Yaya,Algılandı,8.25,100.0,Duruyor,N/A,0,0,0.00
19:20:10,Yaya,Algılandı,7.11,100.0,Duruyor,N/A,0,0,0.00
19:20:20,Trafik Işığı Kırmızı,Algılandı,5.32,0.0,Duruyor,N/A,0,0,0.00
19:21:14,Yaya,Algılandı,8.22,50.0,Duruyor,N/A,0,0,0.00
